player,shots,game
A. Iguodala,001,201610250GSW
A. Varejao,01,201610250GSW
D. Bertans,11,201610250GSW
D. Dedmon,0010,201610250GSW
D. Green,0010011110100111,201610250GSW
D. Lee,110101,201610250GSW
D. West,10,201610250GSW
I. Clark,0011001000,201610250GSW
J. McGee,100,201610250GSW
J. Simmons,11111101001000001,201610250GSW
K. Anderson,1,201610250GSW
K. Durant,11110010110001001111111,201610250GSW
K. Leonard,011100111111100101110011001111111110,201610250GSW
K. Thompson,0000010110101,201610250GSW
L. Aldridge,01101000110111100111111000,201610250GSW
M. Ginobili,1001000110,201610250GSW
P. Gasol,1000,201610250GSW
P. McCaw,001,201610250GSW
P. Mills,001010110,201610250GSW
S. Curry,011111001111100000110110,201610250GSW
S. Livingston,010,201610250GSW
T. Parker,100011001,201610250GSW
Z. Pachulia,1,201610250GSW
