dt,Abidjan,Addis Abeba,Ahmadabad,Aleppo,Alexandria,Ankara,Baghdad,Bangalore,Bangkok,Belo Horizonte,Berlin,Bogotá,Bombay,Brasília,Cairo,Calcutta,Cali,Cape Town,Casablanca,Changchun,Chengdu,Chicago,Chongqing,Dakar,Dalian,Dar Es Salaam,Delhi,Dhaka,Durban,Faisalabad,Fortaleza,Gizeh,Guangzhou,Harare,Harbin,Ho Chi Minh City,Hyderabad,Ibadan,Istanbul,Izmir,Jaipur,Jakarta,Jiddah,Jinan,Kabul,Kano,Kanpur,Karachi,Kiev,Kinshasa,Lagos,Lahore,Lakhnau,Lima,London,Los Angeles,Luanda,Madras,Madrid,Manila,Mashhad,Melbourne,Mexico,Mogadishu,Montreal,Moscow,Nagoya,Nagpur,Nairobi,Nanjing,New Delhi,New York,Paris,Peking,Pune,Rangoon,Rio De Janeiro,Riyadh,Rome,Saint Petersburg,Salvador,Santiago,Santo Domingo,Seoul,Shanghai,Shenyang,Singapore,Surabaya,Surat,Sydney,São Paulo,Taipei,Taiyuan,Tangshan,Tianjin,Tokyo,Toronto,Umm Durman,Wuhan,Xian
1950-02-01,27.526999999999997,17.933999999999994,19.343000000000004,4.6560000000000015,13.433000000000002,-2.7960000000000003,8.62,24.862,27.185,23.239,3.0,20.25,22.553,22.427,13.284,21.457,21.744,19.928,11.811,-11.725,1.7420000000000002,0.008000000000000007,6.691,21.043000000000006,-2.291,27.611,15.322000000000001,20.875999999999998,23.195999999999998,12.322000000000001,26.787,13.284,14.05,22.785,-13.706,26.595,25.24,27.708000000000002,4.048,10.331,16.219,26.66800000000001,22.29300000000001,0.845,2.001,22.76,16.335,17.834000000000003,-2.225,25.059,26.516,12.322000000000001,16.335,20.258,5.803999999999999,10.759,26.267,26.13300000000001,5.731,26.272,-1.4410000000000005,17.98,14.174000000000001,26.935,-12.005999999999998,-6.809999999999999,5.1080000000000005,20.765,17.330000000000002,4.085,15.322000000000001,-2.454,6.728999999999999,-0.72,21.538,24.911,26.409,14.097,6.046,-5.8290000000000015,26.583000000000002,12.094000000000001,23.66800000000001,-1.052,4.67,-7.342,26.368,26.831,20.647,19.177,22.616,16.253999999999998,-5.4220000000000015,-0.945,-0.72,2.5180000000000002,-7.75,23.63000000000001,5.136,-0.8029999999999999
1950-03-01,28.344,19.660999999999998,25.816999999999997,10.93,16.025000000000002,4.2730000000000015,15.7,27.051,29.122,22.761,5.492000000000001,20.269000000000002,25.088,21.76,17.22,26.337000000000003,21.825,19.979,13.762,-2.115,8.123,0.983,12.821,23.285,3.217,27.259,21.874000000000002,25.77,24.13,18.326,25.655,17.22,19.155,22.296,-3.608,27.689,28.219,29.286,7.106000000000001,11.974,23.162,27.303,24.23,7.9860000000000015,7.404,27.035999999999998,22.378,24.314,1.197,25.238000000000003,27.72300000000001,18.326,22.378,20.027,7.6670000000000025,11.984000000000002,25.906,28.248,8.163,27.519000000000002,6.577000000000001,16.769000000000002,16.273,28.722,-7.29,-2.532,7.749,25.4,17.224999999999998,10.13,21.874000000000002,0.54,7.856999999999997,6.3629999999999995,25.752,28.231,26.309,19.689,8.476,-2.8120000000000003,26.12,9.925999999999998,24.794,4.088,10.138,0.711,26.775,27.147,26.579,19.817,22.217,18.948,3.1710000000000003,6.492000000000001,6.3629999999999995,5.705,-5.624,27.398000000000003,11.408,6.675
1950-04-01,27.83,18.983,30.395,18.590999999999998,19.761000000000006,13.411,22.409,28.173,29.255,21.571,7.915,19.783,27.288,21.513,22.563,30.515,21.702,15.532,15.318,8.921,11.263,3.8739999999999997,17.197,21.691999999999997,10.268999999999998,26.408,27.833000000000002,29.085,21.849,23.987,25.055,22.563,20.774,21.345,8.312999999999999,28.549,31.741999999999997,28.048000000000002,14.847999999999999,17.021,28.55,27.13,27.003,14.154000000000002,11.73,30.006,28.186999999999998,27.487,12.434,25.156999999999996,27.525,23.987,28.186999999999998,18.117,7.756,15.341,25.63300000000001,30.54300000000001,9.555,28.656999999999996,11.183,13.640999999999998,17.429000000000002,28.741999999999997,3.1100000000000003,8.613999999999999,14.072,30.955,16.421999999999993,15.315999999999999,27.833000000000002,7.336,8.670000000000002,13.692,29.105,29.605,25.245,25.263,10.265999999999998,5.3660000000000005,25.136,5.8599999999999985,25.057,11.683,15.077,9.508,26.69100000000001,27.073,30.511,17.757,20.387,20.157,10.152,13.305,13.692,11.992,1.6100000000000003,31.773000000000003,16.882,11.769
1950-05-01,26.896,19.045,33.326,20.739,21.008000000000006,14.587,27.037,28.178,28.805,19.64,15.255999999999998,19.8,29.16500000000001,20.89,24.277,31.057,21.635,14.991,18.415,15.493,15.833,11.718,21.236,22.845,16.018,25.355,33.829,29.495,19.618,32.064,25.096,24.277,25.375,16.753999999999998,14.88,28.378,33.233000000000004,27.031999999999996,16.66,18.956,34.333,27.05,28.886,20.114,20.136,30.788,33.175000000000004,31.11,15.269,24.686999999999998,27.716,32.064,33.175000000000004,15.912999999999998,11.407,16.34,24.601999999999997,32.817,13.194,28.891,19.573,10.472000000000001,19.592,27.968000000000004,12.477,11.418,18.909000000000002,34.674,15.815,21.026,33.829,14.135000000000002,14.453,19.185,30.04,29.691999999999997,24.778000000000002,30.214,16.131,8.655,24.394,2.386,26.041,16.73,20.483,15.775,27.268,26.804,32.474000000000004,16.514,18.985,23.438000000000002,15.521999999999998,18.846,19.185,17.456999999999994,11.562999999999999,33.916,22.32200000000001,17.834999999999994
1950-06-01,25.454,17.038999999999998,32.309,25.475,24.206,17.362000000000002,31.331,25.525,28.101,18.55,18.408,19.759,28.983,19.823,27.088,29.781999999999996,21.471999999999998,13.094000000000001,22.59,20.4,16.552,17.235,22.965999999999998,26.63,20.247,24.358,34.58900000000001,28.732,19.016,34.992000000000004,25.636,27.088,26.856,15.515999999999998,19.907,28.041,30.099,25.921,20.286,23.599,34.164,27.05,30.886999999999997,23.933000000000003,25.309,29.679,32.819,31.839,16.761999999999997,23.336,27.059,34.992000000000004,32.819,13.207,17.003,19.47,22.851999999999997,32.361000000000004,19.462,26.995,22.386999999999997,7.9620000000000015,18.032,26.197,17.457,14.855,21.736,31.712,14.894,24.873,34.58900000000001,19.352,19.016,23.372,27.783,27.391,23.791999999999998,33.584,21.049,13.055,23.496,0.01799999999999996,26.837000000000003,19.708,24.401,20.328,27.366999999999997,26.554,31.452,15.390999999999998,17.188,24.994,19.685,22.875,23.372,20.279,16.593,34.083,25.787,21.557
1950-07-01,24.878,15.517999999999999,27.893,28.801,26.464000000000002,20.738000000000003,33.529,23.992,27.593000000000004,18.133,18.744,19.695,26.905,19.479,28.805999999999997,28.930999999999997,21.628,11.610999999999999,26.469,24.831,20.319000000000006,20.247,27.496,27.623,23.843000000000004,23.772,30.573,28.586,18.583,31.778000000000002,25.951,28.805999999999997,28.894000000000002,16.495,24.948,27.997,26.96,24.49,22.955,26.56900000000001,29.401999999999997,26.14,31.426,26.506,25.981,25.96,29.629,30.184,18.402,21.438000000000002,25.86,31.778000000000002,29.629,13.263,16.807000000000002,24.212,20.039,30.109,23.377,26.125999999999998,24.596,8.561,17.149,25.581,19.656,15.515,26.052,26.506,14.193,28.478,30.573,21.613000000000003,19.676,25.923000000000002,24.686,26.524,22.653000000000002,34.724000000000004,24.38000000000001,14.837,22.766,-0.5830000000000001,26.99,24.72,28.725,24.47300000000001,26.97300000000001,25.206,27.54300000000001,15.302,16.247,28.006,22.425,25.092,25.923000000000002,25.186999999999998,18.160999999999998,29.596,29.458000000000002,25.632
1950-08-01,23.734,15.595,27.462,28.165,26.79,20.385,32.594,24.563000000000002,27.82500000000001,20.401,19.308,20.186,27.244,21.230999999999998,28.354,28.559,21.549,12.875,25.369,23.881,19.136000000000006,20.643,26.616999999999997,27.581000000000003,24.708,23.714000000000002,29.509,28.125,18.157,30.916999999999998,26.625,28.354,28.159,16.733,23.57800000000001,28.343000000000004,27.641,23.86,22.155,25.632,27.952,26.109,32.292,25.691,24.311999999999998,24.511999999999997,28.603,29.315,16.937,22.13,25.17100000000001,30.916999999999998,28.603,12.777000000000001,16.602,23.288,20.039,30.131999999999998,21.058000000000003,26.514,22.658,9.086,17.903,25.69400000000001,17.651,13.976,26.799,26.484,14.906,27.695999999999998,29.509,20.901,18.418,25.552,25.16,26.914,23.20300000000001,34.286,22.995,15.194,22.641,1.188,27.384,25.273000000000003,28.006,24.093000000000004,26.463,25.786,27.622,14.162,18.496,27.59800000000001,20.851999999999997,24.017000000000003,25.552,25.135,17.705000000000005,29.013,28.593000000000004,23.455
1950-09-01,24.253,16.404,27.855,26.434,25.971999999999998,19.692999999999998,30.522,24.164,27.394,20.995,14.091,20.194000000000006,27.033,22.166,26.46,29.084,22.015,13.805,22.729,15.06,15.165,18.09,21.253,27.48500000000001,19.267,23.744,28.471,29.225,19.8,28.046999999999997,27.457,26.46,27.873,21.025,14.255999999999998,27.181,26.44,24.680999999999997,21.24,24.105,27.733,25.932,31.335,20.292,19.946,25.628,28.101,29.276999999999997,14.640999999999998,23.531,25.505,28.046999999999997,28.101,13.277,13.448,20.511999999999997,21.614,29.014,17.601,26.54300000000001,17.162000000000006,11.693,17.892,26.458,11.783,11.77,23.156999999999996,26.531999999999996,15.359000000000002,22.662,28.471,15.845,14.407,19.886,24.666,27.173,22.364,32.311,18.596,11.899,23.314,1.92,27.375,19.687,23.555,16.412000000000006,26.56,26.086,27.393,16.494,18.951,26.901,15.134,18.779,19.886,21.962000000000003,13.377,30.741,23.08,17.188
1950-10-01,25.266,16.229,27.325,18.128,22.731,10.028,24.715999999999998,23.851999999999997,26.47300000000001,21.468000000000004,8.5,19.402,27.344,22.062,22.857,26.938000000000002,20.849,16.219,18.014,6.5489999999999995,10.988,15.481,17.317999999999998,27.449,13.19,24.29000000000001,25.362,27.304000000000002,19.069000000000006,24.601999999999997,27.642,22.857,24.791,22.49,5.178,26.998,25.56900000000001,25.63300000000001,13.946,17.814999999999994,25.447,25.871,29.454,14.380999999999998,14.966,26.136,24.802,27.197,6.439,23.844,26.028000000000002,24.601999999999997,24.802,14.047,9.668,18.309,23.212,27.601999999999997,13.27,26.024,14.185,13.194,15.498,26.634,8.087,4.598,16.408,24.904,15.862999999999998,17.634,25.362,12.633,10.437,12.931,23.976999999999997,27.068,21.776,26.854,13.199000000000002,6.367000000000001,23.767,4.33,26.425,13.520999999999999,18.9,8.89,26.169,27.576,26.391,16.334,19.048,24.607,8.185,12.264000000000001,12.931,13.644,10.085,31.123,18.298,10.961
1950-11-01,26.686,15.599,22.388,14.074000000000002,20.033,6.175,18.502,23.112,26.083,21.67,4.636,19.123,26.344,21.908,19.027,22.458000000000002,20.791,17.192999999999998,15.486,-6.007999999999999,6.098,4.635,12.079,26.436,3.831,25.894000000000002,19.301,22.834,20.197,17.726,28.334,19.027,19.482,23.18,-8.279,26.985,23.237,26.576,11.259,15.137,19.394,26.221,28.773000000000003,6.157,7.327000000000001,24.019000000000002,19.118,22.49,2.2769999999999997,24.193,26.796,17.726,19.118,15.779000000000002,6.0360000000000005,15.069,24.803,25.458,9.013,25.976,3.859,15.357999999999999,13.196,26.515,2.659,-0.5390000000000001,11.764000000000001,20.66,16.209,10.34,19.301,6.327999999999999,7.166,2.975,21.5,26.775,22.20300000000001,20.95,8.331000000000001,1.5020000000000002,24.781,7.462999999999999,25.524,5.21,11.854,-1.638,26.304000000000002,27.517,22.121,16.735000000000007,20.15,21.17,-0.381,3.782,2.975,9.026,0.7050000000000001,28.112,11.296,4.5150000000000015
1950-12-01,26.704,15.924000000000001,18.682000000000002,8.78,17.368,3.0439999999999996,12.258,22.107,23.071,22.185,-1.293,19.277,24.464000000000002,21.665,16.204,19.535999999999998,21.066999999999997,17.895,10.562000000000001,-14.421,0.29200000000000004,-2.315,6.524,23.232,-2.04,26.913,13.837,19.467,21.483,11.286,27.675,16.204,13.658,22.909000000000002,-17.864,25.247,21.551,27.035,10.424000000000001,14.393,14.504,26.06,26.594,0.11100000000000004,1.849,22.264,14.677,17.022000000000002,-1.4449999999999998,24.029,26.923000000000002,11.286,14.677,17.816,0.9309999999999999,12.653,24.901,23.856,2.7489999999999997,24.518,-0.8689999999999998,18.986,12.173,26.78,-6.694,-5.827999999999999,5.602,18.524,16.465,3.923,13.837,-1.858,0.17399999999999993,-2.742,19.689,23.302,24.19400000000001,15.618,4.97,-2.092,25.215999999999998,11.623,24.581,-1.953,4.7719999999999985,-9.105,25.625,27.186,19.08,18.715000000000003,21.854,16.75,-7.348000000000001,-2.352,-2.742,3.157,-5.712999999999999,24.548000000000002,5.502999999999999,-2.209
